"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010016","010016",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","Reopened","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,2294088,,,0.0908999964594841,,,192,70080,17158,8134,52340,,781.340026855469,,3455,2108,10692,,,,,,,
"010018","010018",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",64492,,,,,,,15303,293292,12,4960,100,12,339,7.94999980926514,150,,32,7,117,,,,,,,
"010019","010019",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Amended","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660-                                  ","COLBERT                                 ",,,,2759174,,,0.158899992704391,,,185,67525,13835,6305,27715,,548.419982910156,,2970,1407,6586,,,,,,,
"010021","010021",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Reopened","DALE MEDICAL CENTER                     ","126 HOSPITAL                            ",,"OZARK                                   ","AL                                      ","36360-                                  ","DALE                                    ",,,,495297,,,0.119999997317791,,,77,28105,3647,1479,7515,,259.519989013672,,788,394,1889,,,,46,,352,
"010022","010022",4/1/2011,"01-APR-11",3/31/2012,"31-MAR-12","Reopened","CHEROKEE MEDICAL CENTER                 ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960-                                  ","CHEROKEE                                ",,,,178491,,,0.0826999992132187,,,45,16470,3283,324,4443,,111.699996948242,,479,112,852,,,,,,,
"010023","010023",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Amended","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ","MONTGOMERY                              ",2894715,,,10989816,,,0.255299985408783,630296,309894,363,132858,23958,25883,81733,43.4900016784668,1852.30004882812,,5273,4222,16648,,,,537,,2008,
"010024","010024",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","JACKSON HOSPITAL AND CLINIC  INC        ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106-1109                              ","MONTGOMERY                              ",,,,4704779,,,0.123199999332428,,,255,93075,27773,11227,66466,,1211.88000488281,,5193,1753,12793,,,,,,,
"010025","010025",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Amended","GEORGE H. LANIER HOSPITAL               ","4800 48TH STREET                        ",,"VALLEY                                  ","AL                                      ","36854                                   ","CHAMBERS                                ",,,,1017256,,,0.144199997186661,,,84,30744,7977,2636,14916,,330.859985351562,,1205,433,2835,,,,,,,
"010027","010027",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","ELBA GENERAL HOSPITAL                   ","987 DRAYTON STREET                      ",,"ELBA                                    ","AL                                      ","35323                                   ","COFFEE                                  ",,,,48548,,,0.119999997317791,,,20,7320,388,174,714,,159.600006103516,,110,73,247,,,,,,,
"010029","010029",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Amended","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802-                                  ","LEE                                     ",,,,6470355,,,0.143700003623962,,,264,96360,30013,12820,66053,,1917.9599609375,,5836,2299,16529,,,,,,,
"010032","010032",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ",,"WEDOWEE                                 ","AL                                      ","36278                                   ","RANDOLPH                                ",,,,109678,,,0.0718000009655952,,,34,12444,1537,415,2479,,74.2300033569336,,374,108,679,,,,,,,
"010033","010033",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",22260444,,,26011046,,,0.223199993371964,7152169,1490246,992,362080,69668,77590,262553,774.5,6679,,12318,11129,41533,,,,536,148,2342,923
"010034","010034",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","COMMUNITY HOSPITAL INC.                 ","805 FRIENDSHIP DRIVE                    ",,"TALLASSEE                               ","AL                                      ","36078                                   ","ELMORE                                  ",,,,352850,,,0.094200000166893,,,37,13505,3163,729,6190,,175.949996948242,,702,209,1608,,,,8,,211,
"010035","010035",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","As Submitted","CULLMAN REGIONAL                        ","1912 ALABAMA HIGHWAY 157                ",,"CULLMAN                                 ","AL                                      ","35056-                                  ","CULLMAN                                 ",,,,2402613,,,0.119199998676777,,,115,42090,13035,4467,22780,,843.75,,3102,1651,7141,,,,,,,
"010036","010036",4/1/2011,"01-APR-11",3/31/2012,"31-MAR-12","As Submitted","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ",,"ANDALUSIA                               ","AL                                      ","36420                                   ","COVINGTON                               ",,,,1541689,,,0.216199994087219,,,88,32208,5366,2211,10739,,244.490005493164,,1395,804,3208,,,,,,,113
"010038","010038",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Reopened","STRINGFELLOW MEMORIAL HOSPITAL          ","301 EAST 18TH STREET                    ","38                                      ","ANNISTON                                ","AL                                      ","36207                                   ","CALHOUN                                 ",,,,1167984,,,0.096900001168251,,,125,45750,8616,1748,15592,,299,,2092,536,4248,,,,,,,
"010039","010039",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Amended","HUNTSVILLE HOSPITAL                     ","101 SIVLEY ROAD                         ",,"HUNTSVILLE                              ","AL                                      ","35801-                                  ","MADISON                                 ",2964318,,,15792761,,,0.119699999690056,848250,359339,807,295362,82735,42352,212200,34.75,5150.6298828125,,14528,7661,44927,,,,168,,1504,
"010040","010040",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Reopened","GADSDEN REGIONAL MEDICAL CENTER         ","1007 GOODYEAR AVENUE                    ",,"GADSDEN                                 ","AL                                      ","35999-                                  ","ETOWAH                                  ",,,,7120377,,,0.209900006651878,,,265,96718,27717,12430,62876,,968.219970703125,,4551,2310,11685,,,,4,,311,
"010043","010043",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Reopened","CHILTON MEDICAL CENTER                  ","1010 LAY DAM ROAD                       ",,"CLANTON                                 ","AL                                      ","35045-                                  ","CHILTON                                 ",,,,58213,,,0.0533999986946583,,,27,9882,1189,129,2541,,121.139999389648,,214,41,538,,,,,,,
"010044","010044",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","MARION REGIONAL MEDICAL CENTER          ","1256 MILITARY ST SOUTH                  ",,"HAMILTON                                ","AL                                      ","35570-                                  ","MARION                                  ",,,,116925,,,0.0542999990284443,,,36,13140,1871,219,3072,,131.899993896484,,502,67,980,,,,,,,
"010045","010045",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","FAYETTE MEDICAL CENTER DCH              ","1653 TEMPLE AVENUE NORTH                ",,"FAYETTE                                 ","AL                                      ","35555-                                  ","FAYETTE                                 ",,,,341987,,,0.0913000032305717,,,42,15330,5208,615,7332,,185,,760,188,1407,,,,,,,
"010046","010046",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Reopened","RIVERVIEW REGIONAL MEDICAL CENTER       ","600 S 3RD STREET                        ",,"GADSDEN                                 ","AL                                      ","35901                                   ","ETOWAH                                  ",,,,1281195,,,0.0502999983727932,,,256,93696,21679,2431,33886,,488.049987792969,,3616,485,6440,,,,,,289,
"010049","010049",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","Settled","MEDICAL CENTER ENTERPRISE               ","400 NORTH EDWARDS STREET                ",,"ENTERPRISE                              ","AL                                      ","36330-                                  ","COFFEE                                  ",,,,865954,,,0.119999997317791,,,131,47815,5803,3690,14528,,367.260009765625,,1514,1020,4150,,,,,,,
"010050","010050",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","ST. VINCENT S BLOUNT                    ","150 GILBREATH DRIVE                     ","1000                                    ","ONEONTA                                 ","AL                                      ","35121-                                  ","BLOUNT                                  ",,,,176350,,,0.0760999992489815,,,40,14640,2092,496,4881,,141.100006103516,,476,130,1241,,,,,,,
"010051","010051",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","GREENE COUNTY HOSPITAL                  ","509 WILSON AVENUE                       ",,"EUTAW                                   ","AL                                      ","35462                                   ","GREENE                                  ",,,,148827,,,0.119999997317791,,,24,8760,992,308,1550,,75.3099975585938,,308,117,529,,,,,,,
"010052","010052",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","LAKE MARTIN COMMUNITY HOSPITAL          ","1231 SOUTH STREET                       ",,"DADEVILLE                               ","AL                                      ","36853                                   ","TALLAPOOSA                              ",,,,222831,,,0.113899998366833,,,46,16790,1564,299,2681,,72.6500015258789,,468,75,892,,,,,,,
"010054","010054",7/1/2011,"01-JUL-11",12/31/2011,"31-DEC-11","Settled","PARKWAY MEDICAL CENTER                  ","1874 BELTLINE ROAD S.W.                 ",,"DECATUR                                 ","AL                                      ","35601                                   ","MORGAN                                  ",,,,518065,,,0.132400006055832,,,109,20056,2753,1244,6504,,283.399993896484,,713,357,1837,,,,,,,
"010055","010055",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","As Submitted","FLOWERS HOSPITAL                        ","4370 WEST MAIN STREET                   ","6907                                    ","DOTHAN                                  ","AL                                      ","36302-                                  ","HOUSTON                                 ",,,,1736776,,,0.0461000017821789,,,235,86010,28959,6830,57546,,1167.40002441406,,5230,1363,11865,,,,,,,
"010056","010056",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","ST VINCENT S HOSPITAL                   ","810 ST VINCENT S DRIVE                  ",,"BIRMINGHAM                              ","AL                                      ","35205-                                  ","JEFFERSON                               ",100533,,,,,,,31552,9368,442,161772,35716,5522,105963,1,1885.16003417969,,6594,718,20588,,,,,,,
"010058","010058",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Reopened","BIBB MEDICAL CENTER                     ","165 PIERSON AVENUE                      ",,"CENTREVILLE                             ","AL                                      ","35042                                   ","BIBB                                    ",,,,47597,,,0.0847000032663345,,,25,9125,1965,72,3095,,97.9000015258789,,132,14,250,,,,,,,
"010059","010059",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","LAWRENCE MEDICAL CENTER                 ","202 HOSPITAL STREET                     ",,"MOULTON                                 ","AL                                      ","35650-                                  ","LAWRENCE                                ",,,,473256,,,0.104699999094009,,,37,13505,4717,541,6859,,151.240005493164,,825,131,1389,,,,,,,
"010061","010061",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","HIGHLANDS MEDICAL CENTER                ","380 WOODS COVE ROAD                     ","1050                                    ","SCOTTSBORO                              ","AL                                      ","35768-                                  ","JACKSON                                 ",,,,1029683,,,0.119999997317791,,,170,62050,7952,3150,14969,,348.470001220703,,1814,1238,4097,,,,,,,
"010062","010062",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","WIREGRASS MEDICAL CENTER                ","1200 WEST MAPLE STREET                  ",,"GENEVA                                  ","AL                                      ","36340                                   ","GENEVA                                  ",,,,374900,,,0.0995000004768372,,,73,26645,4130,627,6319,,221.800003051758,,837,190,1493,,,,,,271,
"010065","010065",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","RUSSELL MEDICAL CENTER                  ","P.O. BOX 939                            ","939                                     ","ALEXANDER CITY                          ","AL                                      ","35010                                   ","TALLAPOOSA                              ",,,,1530984,,,0.14640000462532,,,75,27375,5482,2779,11586,,461.429992675781,,734,1585,3477,,,,,,,
"010066","010066",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","FLORALA COMMUNITY HOSPITAL              ","515 EAST 5TH AVENUE                     ",,"FLORALA                                 ","AL                                      ","36442                                   ","COVINGTON                               ",,,,43108,,,0.104999996721745,,,22,8052,432,71,681,,33.0299987792969,,115,33,235,,,,,,,
"010069","010069",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","SEAR                                    ","820 WEST WASHINGTON STREET              ",,"EUFAULA                                 ","AL                                      ","36026-                                  ","BARBOUR                                 ",,,,313716,,,0.103900000452995,,,30,10950,3188,398,4498,,144.330001831055,,764,155,1495,,,,,,179,
"010073","010073",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","CLAY COUNTY HOSPITAL                    ","544 EAST AVENUE                         ",,"ASHLAND                                 ","AL                                      ","36251                                   ","CLAY                                    ",,,,6081,146075,,0.0649000033736229,,,46,16790,3517,347,4788,,172.960006713867,,572,84,1020,,,,,,,
"010078","010078",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","As Submitted","NORTHEAST ALABAMA REGIONAL MED CTR      ","400 EAST TENTH STREET                   ","2208                                    ","ANNISTON                                ","AL                                      ","36202-                                  ","CALHOUN                                 ",,,,4779036,,,0.1233000010252,,,217,79422,28983,10485,57290,,1213,,5483,2617,13536,,,,236,,1350,
"010079","010079",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","ATHENS LIMESTONE                        ","ATHENS LIMESTONE HOSPITAL               ","999                                     ","ATHENS                                  ","AL                                      ","35611-                                  ","LIMESTONE                               ",,,,1135392,,,0.119999997317791,,,101,36966,7168,2989,15301,,450.459991455078,,1578,240,4423,,,,,,,
"010083","010083",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Reopened","SOUTH BALDWIN REGIONAL MEDICAL CENTE    ","1613 NORTH MCKENZIE                     ",,"FOLEY                                   ","AL                                      ","36535-                                  ","BALDWIN                                 ",,,,994468,,,0.0778999999165535,,,112,40880,10995,4269,24289,,519.429992675781,,2232,907,5565,,,,,,,
"010085","010085",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","As Submitted","DECATUR GENERAL                         ","7TH STREET S.E.                         ","2239                                    ","DECATUR                                 ","AL                                      ","35609-                                  ","MORGAN                                  ",,,,2820146,,,0.116599999368191,,,178,65148,18709,7175,38780,,814.77001953125,,3852,1670,8885,,,,,,246,
"010086","010086",5/1/2011,"01-MAY-11",4/30/2012,"30-APR-12","Reopened","NORTHWEST MEDICAL CENTER                ","HIGHWAY 78 WEST                         ","130                                     ","WINFIELD                                ","AL                                      ","35594                                   ","MARION                                  ",,,,369373,,,0.0676999986171722,,,61,22326,5071,665,7647,,226.070007324219,,1152,214,1997,,,,23,,197,
"010087","010087",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled w/Audit","UNIV OF SOUTH ALABAMA MEDICAL CENTER    ","2451 FILLINGIM STREET                   ",,"MOBILE                                  ","AL                                      ","36617                                   ","MOBILE                                  ",5518934,,,2946674,,,0.287099987268448,1692204,1176824,135,49275,7344,12065,40152,120.230003356934,1310.40002441406,,1006,1793,6323,,,,,,,
"010089","010089",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","Reopened","WALKER BAPTIST MEDICAL CENTER           ","3400 HIGHWAY 78 EAST                    ","3547                                    ","JASPER                                  ","AL                                      ","35502                                   ","WALKER                                  ",,,,2376775,,,0.154899999499321,,,135,49275,10778,5522,25974,,460.230010986328,,2409,1985,6134,,,,314,,1117,
"010090","010090",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","As Submitted","PROVIDENCE HOSPITAL                     ","6801 AIRPORT BLVD                       ",,"MOBILE                                  ","AL                                      ","36608                                   ","MOBILE                                  ",54690,,,2504434,,,0.063900001347065,21158,6843,349,127734,27279,10403,75625,2,1482,,4669,1769,13979,,,,,,,
"010091","010091",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","As Submitted","GROVE HILL MEMORIAL HOSPITAL            ","295 SOUTH JACKSON STREET                ","935                                     ","GROVE HILL                              ","AL                                      ","36451-                                  ","CLARKE                                  ",,,,261755,,,0.119999997317791,,,24,8784,1951,1312,4578,,97.1900024414062,,574,535,1423,,,,,,151,
"010092","010092",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","DCH REGIONAL MEDICAL CENTER             ","809 UNIVERSITY BLVD EAST                ",,"TUSCALOOSA                              ","AL                                      ","35401-                                  ","TUSCALOOSA                              ",3685678,,,14555978,,,0.167899996042252,1372950,300816,477,174105,76062,28346,130163,35,3267,,11492,6761,28308,,,,18,19,1039,330
"010095","010095",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","HALE COUNTY HOSPITAL                    ","508 GREENE STREET                       ",,"GREENSBORO                              ","AL                                      ","36744                                   ","HALE                                    ",,,,100805,,,0.119999997317791,,,28,10220,1732,292,2511,,68.9400024414062,,207,140,568,,,,,,,
"010097","010097",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","ELMORE COMMUNITY HOSPITAL               ","500 HOSPITAL DRIVE                      ",,"WETUMPKA                                ","AL                                      ","36092                                   ","ELMORE                                  ",,,,269335,,,0.119999997317791,,,46,16790,2365,715,4872,,141.830001831055,,623,217,1398,,,,,,,
"010099","010099",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","D W MCMILLAN MEMORIAL HOSPITAL          ","1301 BELLEVILLE AVENUE                  ","908                                     ","BREWTON                                 ","AL                                      ","36427                                   ","ESCAMBIA                                ",,,,484971,,,0.119999997317791,,,49,17885,4188,2013,8490,,244.199996948242,,1015,444,2204,,,,,,,
"010100","010100",4/1/2011,"01-APR-11",3/31/2012,"31-MAR-12","Settled","THOMAS HOSPITAL                         ","750 MORPHY AVE                          ","929                                     ","FAIRHOPE                                ","AL                                      ","36532-                                  ","BALDWIN                                 ",,,,,,,,,,129,47214,13910,3506,33985,,866.890014648438,,3049,1316,8987,,,,,,,
"010101","010101",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","Reopened","CITIZENS BAPTIST MEDICAL CENTER         ","604 STONE AVENUE                        ",,"TALLADEGA                               ","AL                                      ","35161                                   ","TALLADEGA                               ",,,,1589868,,,0.297300010919571,,,81,29565,3940,3220,9782,,244.410003662109,,1086,1261,2853,,,,4,,184,
"010102","010102",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","JOHN PAUL JONES HOSPITAL                ","317 MCWILLIAMS AVENUE                   ","B                                       ","CAMDEN                                  ","AL                                      ","36726-1610                              ","WILCOX                                  ",,,,58160,,,0.119999997317791,,,30,10950,380,44,663,,37.5,,119,15,210,,,,,,,
"010103","010103",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","Settled w/Audit","PRINCETON BAPTIST MEDICAL CENTER        ","701 PRINCETON AVE SW                    ",,"BIRMINGHAM                              ","AL                                      ","35211                                   ","JEFFERSON                               ",4694541,,,3967406,,,0.10080000013113,2498462,590868,275,100216,26482,11228,70000,41.1100006103516,1226.66003417969,,4797,1927,12359,,,,,,523,
"010104","010104",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled w/Audit","TRINITY MEDICAL CENTER                  ","800 MONTCLAIR ROAD                      ",,"BIRMINGHAM                              ","AL                                      ","35213                                   ","JEFFERSON                               ",2668371,,,3842664,,,0.107699997723103,2088014,461476,340,123861,27080,12685,70581,37.2599983215332,1397,,4486,1534,13009,,,,14,1,591,301
"010108","010108",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","PRATTVILLE BAPTIST HOSPITAL             ","124 SOUTH MEMORIAL DRIVE                ",,"PRATTVILLE                              ","AL                                      ","36067-                                  ","AUTAUGA                                 ",,,,163474,,,0.0406999997794628,,,56,20496,2967,723,6937,,242.880004882812,,836,166,2014,,,,,,,
"010109","010109",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Settled","PICKENS COUNTY MEDICAL CENTER           ","R.K. WILSON DRIVE                       ",,"CARROLLTON                              ","AL                                      ","35477                                   ","PICKENS                                 ",,,,370950,,,0.119999997317791,,,40,14600,2715,463,3916,,182.050003051758,,580,145,978,,,,6,,115,
"010110","010110",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","BULLOCK COUNTY HOSPITAL                 ","102 CONECUH AVENUE                      ",,"UNION SPRINGS                           ","AL                                      ","36089                                   ","BULLOCK                                 ",,,,236486,,,0.119999997317791,,,30,10950,2460,1462,5224,,78.4800033569336,,492,224,1184,,,,166,,548,
"010112","010112",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","BRYAN W WHITFIELD MEMORIAL HOSPITAL     ","105 HIGHWAY 80 EAST                     ",,"DEMOPOLIS                               ","AL                                      ","37832                                   ","MARENGO                                 ",,,,647061,,,0.119999997317791,,,89,32485,6625,4225,13743,,272.450012207031,,1423,1219,3472,,,,6,,167,
"010113","010113",4/1/2011,"01-APR-11",3/31/2012,"31-MAR-12","Settled","MOBILE INFIRMARY MEDICAL CENTER         ","FIVE MOBILE INFIRMARY CIRCLE            ","2144                                    ","MOBILE                                  ","AL                                      ","36652-                                  ","MOBILE                                  ",974938,,,7116570,,,0.0975999981164932,457693,63367,605,221430,54069,18689,134407,8.30000019073486,2068,,9660,3738,27431,,,,326,8,1560,727
"010114","010114",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","UAB MEDICAL WEST                        ","995 NINTH AVENUE  SOUTHWEST             ","847                                     ","BESSEMER                                ","AL                                      ","35023                                   ","JEFFERSON                               ",,,,1955137,,,0.116800002753735,,,190,69540,12996,6438,36727,,764.299987792969,,2388,624,4813,,,,,14,378,300
"010118","010118",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Reopened","VAUGHAN REGIONAL MEDICAL CENTER         ","1015 MEDICAL CENTER PARKWAY             ",,"SELMA                                   ","AL                                      ","36701                                   ","DALLAS                                  ",772977,,,6592074,,,0.389499992132187,369859,127815,159,58194,9329,7819,23596,14.8299999237061,483.529998779297,,2638,2675,7321,,,,,,,
"010120","010120",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Reopened","MONROE COUNTY HOSPITAL                  ","HIGHWAY 21                              ",,"MONROEVILLE                             ","AL                                      ","36461                                   ","MONROE                                  ",,,,358496,,,0.119999997317791,,,94,34310,2540,1025,5353,,181.389999389648,,734,435,1660,,,,,,,
"010125","010125",5/1/2011,"01-MAY-11",4/30/2012,"30-APR-12","As Submitted","LAKELAND COMMUNITY HOSPITAL             ","HIIGHWAY 195 EAST                       ","780                                     ","HALEYVILLE                              ","AL                                      ","35565                                   ","WINSTON                                 ",,,,563179,,,0.119999997317791,,,50,18300,4771,708,6625,,132.970001220703,,1006,302,1777,,,,6,,146,
